F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Class
-3.603,2509.22,1234.62,8194.92,5.16,11648.31,-1.6987,-1424.174,2620.35,38.2436,-90135.78,0.6166,21.98,0,-2.982,-0.5946,2.908,-5.5106,-6.79,1,,False
-0.0607632,2461.22,2905.62,7787.04,2.16,7794.21,-1.62795,-903.24,3151.63,28.772,-89941.5,3.072,12.083,0,-2.991,-0.8945,0.9238,-4.75,-6.4652,1,33.66,False
-0.28383,3288.92,1893.72,7734.46,5.16,7555.71,-1.59074,-1041.24,3341.95,28.468,-89983.2,2.0208,6.995,0,-3.455,-0.8807,0.776,-4.812,-5.9824,1,32.49,False
-0.081957,2806.7,1542.24,8298.92,5.16,9575.31,-1.5879,-1445.48,3402.25,26.42,-90546.33,1.1934,11.358,0,-2.588,-1.2124,4.232,-4.7118,-7.2528,0,,True
-0.12441,2789.25,1450.68,8026.08,5.16,5877.21,-3.03,-1268.1,3163.12,31.864,-90032.901,1.064,17.17,0,-1.9585,-0.4239,1.3374,-5.8624,-9.226,0,,False
-2.4207,1705.12,1851.69,8117.12,5.16,10829.01,-2.2733,-1378.6,2903.75,20.204,-90250.08,1.506,10.571,0,-3.596,-0.4604,4.34,-8.018,-6.2538,1,,True
-2.5689,3618.82,1289.22,8376.32,5.16,8686.71,-1.58029,-1344,3885.25,37.0362,-90035.589,0.833,21.27,1,-2.1401,-1.402,1.5988,-6.46,-6.2098,1,32.1,False
-0.6624,2826.949,1512.51,9582.72,5.16,9339.87,-2.2187,-1441.88,3327.95,27.398,-90207.96,1.1692,6.223,0,-1.8109,-2.011,2.308,-5.3698,-9.124,1,36.27,False
-0.4443,2573.92,1422.75,12280.92,2.16,8472.21,-3.572,-850.24,2886.65,40.432,-90141.06,1.0882,8.802,0,-1.4382,-1.392,1.0218,-4.96,-6.066,1,29.22,True
-3.69,2870.46,1679.43,4034.92,2.16,7822.41,-2.5513,-1404.588,3376.75,64.54,-90045.915,2.1374,8.277,0,-1.4175,-0.7131,4.354,-6.428,-7.804,0,30.78,False
-0.6111,2742.88,1688.34,9070.72,2.16,3303.21,-1.9512,-1134.84,2975.25,29.432,-90043.755,1.5196,6.179,0,-1.8554,-0.472,1.7118,-10.362,-9.254,0,,True
-0.7821,2812.3,-216.18,12140.92,2.16,9593.91,-2.602,-1579.2,3243.93,47.898,-90161.52,2.1742,13.742,0,-1.5033,-1.56,0.8864,-4.5274,-8.948,0,38.19,True
-0.089715,3145.12,317.82,8532.52,5.16,9184.743,-2.391,-1663.64,3352.95,38.427,-90517.83,3.468,19.49,1,-2.268,-1.993,0.8768,-4.5686,-7.0512,0,,False
-0.069864,2876.58,1608.231,9036.52,2.16,8996.4,-1.63929,-1379.94,3330.65,24.534,-90289.71,1.1726,16.4,1,-1.756,-1.373,2.244,-9.62,-5.9652,1,,True
-0.3813,2940.62,1537.17,8136.52,5.16,8981.52,-2.688,-1418.512,3551.65,37.541,-89982.54,1.11,9.957,0,-2.787,-0.7091,5.466,-12.45,-7.698,0,,True
-1.5141,2398.22,1298.7,8042.32,5.16,9576.51,-2.6,-1682.64,3335.25,43.29,-90072.177,1.1314,13.976,1,-4.066,-2.264,1.0372,-5.4764,-5.9744,0,36.15,False
-2.3904,1889.22,1648.53,6498.32,5.16,9087,-2.2068,-1374.92,3198.49,36.5526,-90056.375,3.804,5.245,0,-1.7167,-2.294,2.85,-13.194,-6.0672,0,33.63,False
-4.125,2946.92,1656.99,8307.12,5.16,8299.71,-2.3721,-694.64,3764.15,37.643,-89980.29,0.9064,4.3912,1,-3.175,-1.374,0.5026,-6.698,-9.982,1,33.42,False
-0.6474,3039.12,1719.63,8234.92,5.16,7550.91,-3.424,-1335.38,3292.37,36.222,-90054.857,2.484,19.52,0,-3.285,-0.7662,2.602,-5.5848,-6.9564,1,34.35,False
-0.06603,1376.12,1773.96,6161.32,5.16,5520.21,-3.241,-1049.24,2001.35,45.958,-90184.29,0.7426,7.214,1,-1.5161,-0.587,1.673,-9.686,-6.1218,1,,True
-1.7784,2810.09,1772.91,8951.12,5.16,10182.81,-2.2628,-1855.44,3252.16,28.366,-90069.321,5.144,7.104,1,-2.2129,-0.6823,0.6608,-7.344,-6.3818,0,39.54,True
-1.9743,2000.72,3638.22,8262.12,2.16,8378.31,-1.7297,-779.24,2986.65,36.7534,-90138.66,1.0742,13.536,0,-2.951,-1.2422,0.7756,-4.7182,-5.8472,1,,True
-0.079896,2300.72,2723.82,8401.52,5.16,9226.662,-2.641,-1440.24,3884.05,27.484,-92351.43,0.6412,4.5676,0,-2.2112,-2.16,4.106,-5.0546,-5.7884,1,38.46,True
-4.341,2444.02,1750.77,7447.32,2.16,9139.08,-1.7903,-1441.14,3406.75,42.25,-90027.237,1.0172,9.081,1,-2.735,-0.5379,2.482,-8.094,-6.4738,0,32.43,False
-2.3889,2711.72,2174.82,8083.52,2.16,9239.88,-1.7101,-1625.44,3400.25,34.084,-90082.995,1.1814,18.3,0,-2.472,-2.307,0.7554,-5.7872,-7.3818,0,,True
-0.077913,2787.66,4499.22,7930.34,2.16,10955.01,-1.9227,-1445.64,3247.83,46.43,-91208.43,4.586,16.9,1,-4.381,-0.4564,4.674,-4.6482,-11.842,1,33.57,True
-0.0603534,2807.57,3155.52,9083.32,5.16,12387.21,-2.2854,-1476.78,3485.75,52.276,-90108.21,1.5464,25.02,0,-1.8995,-0.5034,5.838,-5.3172,-14.534,0,37.74,True
-0.0912,2872.09,10549.92,8493.12,2.16,7800.81,-3.195,-1131.84,3752.15,43.906,-89898.27,0.7606,9.333,0,-2.2589,-0.9533,0.794,-4.43904,-9.422,0,,True
-2.1945,2604.82,2193.42,9382.12,2.16,7895.61,-2.476,-1324.5,3144.88,52.73,-89965.77,7.35,9.589,1,-1.7804,-0.4903,3.966,-5.5318,-8.658,1,,True
-3.759,-1252.88,1568.877,7780.32,2.16,10178.91,-1.7439,-1338.68,2338.85,33.302,-89716.83,0.585,16.52,1,-2.837,-0.5842,1.3484,-10.498,-5.71082,0,,False
-4.041,2753.43,2048.52,7957.7,5.16,8477.01,-1.577885,-1332.06,3310.45,31.974,-90020.76,1.056,6.119,0,-3.278,-1.2674,2.628,-5.8308,-6.375,1,39.84,True
-0.11274,2753.15,748.02,7264.92,2.16,9268.62,-2.664,-1404.424,3210.976,40.654,-90000.18,1.7692,5.349,0,-1.7943,-1.843,5.386,-4.9674,-8.63,0,30.78,False
-5.658,2703.22,971.22,8779.92,5.16,9327.66,-2.142,-1396.812,3194.73,30.296,-78903.33,5.858,7.89,1,-1.9421,-3.519,0.36534,-5.3842,-7.1832,0,35.76,False
-0.5346,3106.92,1225.02,8537.52,5.16,8570.61,-2.161,-123.24,3942.25,20.25,-90051.618,0.7708,4.3807,0,-1.7796,-1.513,0.3652,-6.0384,-7.4,0,39.48,True
-1.4709,2269.62,771.42,7750.38,2.16,9776.31,-1.848,-1382.08,3132.17,40.652,-90078.975,3.236,16.04,1,-1.9957,-0.7701,3.49,-4.5268,-6.5632,0,,False
-0.067626,2606.02,1429.98,7453.92,2.16,9402.96,-2.1193,-1497.84,3444.05,28.22,-90092.01,0.6476,7.9,1,-2.2899,-1.455,0.8518,-6.632,-6.6994,0,,False
-0.10773,2536.92,2302.02,7705.68,5.16,9525.81,-1.66675,-1456.56,3266.44,35.036,-90341.61,4.682,7.371,0,-2.837,-0.9929,5.186,-5.8832,-6.6222,1,31.83,True
-0.29982,4038.12,1353.39,7631.92,5.16,9075.96,-2.4579,-1415.718,3379.35,33.812,-90140.22,2.0366,7.247,1,-2.006,-1.3494,7.616,-7.278,-5.7588,0,34.14,False
-5.709,2579.22,1187.22,7120.12,2.16,8205.21,-1.63189,-1133.04,2795.35,24.41,-90031.179,0.9552,8.245,0,-1.8437,-1.1309,1.8866,-5.7524,-6.6192,0,34.44,False
-6.792,2699.72,1918.92,8025.5,2.16,9488.43,-2.778,-1780.64,3386.15,31.772,-90040.074,3.126,16.64,0,-2.654,-3.148,1.7178,-7.7,-6.496,1,36.15,False
-6.66,2140.42,3585.12,8087.72,2.16,6211.41,-1.62962,-1323.84,3131.22,37.05632,-90104.82,3.166,39.1,0,-1.9091,-0.4948,3.56,-4.49086,-6.1612,0,,False
-2.6115,1449.12,958.02,7680.14,2.16,6602.61,-4.046,-440.44,2451.45,46.834,-87485.73,0.8104,16.16,1,-1.9698,-0.5947,0.7098,-4.863,-5.8648,0,,False
-1.794,2554.92,1565.625,9175.72,2.16,9503.91,-2.4981,-1430.12,3090.55,16.88,-90027.678,1.1246,7.877,0,-1.6968,-2.2,4.458,-5.1868,-7.053,1,40.68,True
-0.5994,2791.55,1446.21,7324.72,2.16,7578.81,-1.59132,-1056.64,3094.05,36.9214,-89953.71,1.7236,22.68,1,-1.917,-0.7853,1.2988,-6.846,-11.268,0,32.49,False
-0.10116,2682.42,1540.74,8405.32,5.16,7549.71,-2.1432,-1357.1,3025.15,68.84,-89988.24,1.158,14.86,1,-2.1358,-0.7088,6.538,-9.168,-6.188,1,34.17,False
-2.4363,2813.1,1574.889,7957.38,5.16,7979.61,-2.742,-1347.74,2417.35,34.686,-90036.534,0.50886,39.23,1,-4.825,-0.9864,6.14,-8.204,-8.676,1,,False
-0.060020073,2727.72,1625.61,9219.32,5.16,8624.31,-1.8325,-1392.57,3233.73,40.312,-90175.77,2.422,4.3475,0,-1.6025,-0.609,3.912,-7.072,-6.3562,0,,True
-2.3433,1964.72,1562.439,7876.3,2.16,9176.397,-1.7043,-1394.062,3179.69,36.9822,-93507.33,3.386,13.156,0,-2.0751,-1.617,6.876,-11.546,-5.927,0,,False
-0.14916,1526.12,3071.52,20664.92,5.16,9493.8,-2.3698,-1148.84,3060.75,34.416,-90030.978,2.924,15.62,0,-1.34771,-0.9003,0.9454,-4.6464,-6.092,0,,True
-0.26127,2277.02,1557.651,8640.12,2.16,8601.21,-2.1397,-1057.44,2974.55,37.9386,-90243.93,1.1508,16.29,0,-1.5614,-1.0613,1.0684,-6.8,-6.0664,1,,False
-0.09792,2608.52,2068.32,8476.32,5.16,9214.743,-3.03,-1013.24,3094.25,28.456,-90080.532,1.4074,14.35,1,-1.6031,-3.638,0.3528,-6.2128,-8.048,0,35.61,True
-3.966,2802.99,1783.89,7777.92,2.16,8218.11,-1.7549,-1053.24,3759.85,36.4842,-90151.05,0.6286,9.358,1,-3.657,-0.9353,0.5792,-6.884,-7.1842,0,31.14,False
-0.6033,3095.02,1788.18,7771.1,2.16,8962.02,-2.869,-1359.62,3392.35,34.226,-90091.92,1.6512,5.931,0,-3.868,-4.051,3.968,-5.0322,-6.392,1,,False
-0.19131,2458.02,1986.72,4400.92,5.16,9172.116,-2.637,-1479.16,3255.61,52.292,-89955.87,2.3044,28.18,0,-1.34208,-4.473,0.5796,-6.58,-6.4874,1,,True
-1.4481,938.12,1592.076,14126.92,5.16,10673.91,-3.18,-1313.06,3108.25,34.524,-90191.1,5.248,6.374,0,-1.3962,-0.5155,2.736,-7.412,-5.9708,1,,False
-0.06408,2830.544,1530.45,8215.12,2.16,9414.36,-1.59925,-1421.902,3434.15,45.148,-90134.31,0.973,10.965,0,-2.821,-0.8173,4.746,-5.5672,-10.684,1,,True
-2.1951,2733.81,1532.67,7672.6,5.16,9340.62,-1.8097,-671.64,3111.61,23.986,-89994.27,3.238,15.93,0,-1.8206,-2.216,0.39864,-7.108,-12.282,1,36.78,True
-2.4636,2686.82,1167.12,5588.92,5.16,6333.51,-2.044,-498.44,2973.65,61.54,-89826.12,1.0178,15.69,0,-1.431,-0.5961,0.6556,-5.376,-6.902,0,,False
-0.17034,2861.3,1811.94,9277.12,5.16,8526.21,-2.0204,-1182.04,3294.46,37.226268,-90004.95,2.974,10.242,1,-1.7364,-1.536,0.859,-8.666,-10.982,1,,True
-1.1901,2774.29,1580.259,8337.52,2.16,9247.92,-3.095,-1378.82,3221.05,40.258,-89930.43,5.812,9.551,0,-2.33,-1.1243,0.4742,-6.44,-6.9872,1,,True
-0.14361,2824.47,3382.02,6383.12,2.16,8966.7,-2.933,-1396.64,3424.45,19.988,-89785.98,1.7536,7.691,1,-1.6602,-3.557,4.004,-4.9252,-11.314,0,35.25,False
-0.5778,2750.05,8851.92,8116.32,5.16,9774.51,-2.982,-1837.84,3312.15,12.72,-90146.76,3.058,5.0971,1,-2.692,-0.6428,0.7962,-4.5236,-8.186,1,,True
-1.6095,2828.0969,1375.62,7669.38,5.16,8560.41,-2.2113,-889.84,3225.41,31.638,-90008.52,5.146,4.8849,1,-2.865,-1.2586,0.6232,-5.3104,-9.274,1,,False
-3.066,2831.035,1861.11,7107.72,5.16,7979.01,-2.0197,-1385.62,4133.35,38.2916,-89724.33,0.6518,10.186,0,-1.557,-0.7977,1.3288,-7.282,-10.082,0,30.75,False
-3.645,2650.42,1815.51,5738.92,2.16,9290.34,-1.9025,-1407.638,3187.4,33.246,-90160.29,4.672,11.829,0,-1.36102,-1.987,2.2102,-7.214,-8.762,0,35.13,False
-8.535,2673.12,1440.87,13948.92,5.16,6363.21,-1.8014,-1336.06,3112.81,27.89,-90046.773,4.528,5.523,1,-1.4685,-0.4881,6.186,-8.476,-7.0608,1,,False
-1.4853,2533.72,1817.97,7752.68,2.16,5658.21,-1.7334,-1381.08,3298.81,38.1482,-90063.429,0.7528,16.29,1,-3.829,-0.42249,2.0772,-8.226,-6.7978,1,,True
-0.5772,2325.02,2142.12,8672.52,5.16,3588.21,-2.2452,-658.24,2733.55,31.462,-90159,0.7178,40.87,0,-2.0819,-0.4602,0.6372,-6.028,-6.1854,0,,True
-0.066177,2777.32,1794.45,10034.92,5.16,6513.21,-2.691,-1274.8,3055.55,15.08,-90017.16,1.3484,8.319,0,-1.4577,-0.6102,2.834,-5.1708,-8.846,1,,False
-0.4833,2548.22,1980.42,9469.32,5.16,8791.11,-1.65664,-1045.04,3150.55,31.514,-90100.71,5.604,47.48,0,-1.5682,-0.9572,0.8474,-7.916,-8.118,1,,True
-3.483,2780.53,2086.32,9217.12,2.16,9713.31,-1.8718,-1486.72,3345.95,37.7372,-90186.6,1.9424,12.526,1,-1.7307,-0.77,2.712,-6.2564,-8.49,0,39.87,True
-0.06543,2854.12,708.72,7731.14,2.16,8861.01,-1.8193,-1336.14,3323.55,41.256,-90110.31,2.3386,13.134,0,-3.566,-1.597,1.231,-4.7086,-11.386,1,,False
-0.33831,2525.82,1808.55,7529.72,5.16,7822.11,-3.151,1430.96,2956.85,54.748,-90012.24,2.434,9.632,1,-2.524,-0.8976,0.42492,-7.886,-8.386,0,,True
-0.060015897,2576.32,4445.22,7959.92,5.16,9326.82,-1.8619,-1387.44,2992.25,27.368,-89974.5,1.225,22.15,0,-5.675,-0.8525,3.224,-4.727,-7.954,1,41.97,True
-0.20517,2787,1817.85,8704.12,2.16,8639.61,-1.9915,-1160.64,3181.79,58.66,-90055.384,1.5312,11.875,1,-1.3777,-1.841,1.4914,-6.122,-8.046,0,,True
-1.533,2457.52,1973.82,8470.72,2.16,9183.762,-3.664,-1448.4,3253.17,41.956,-90139.2,2.91,21.74,1,-1.6832,-1.1726,2.12,-7.198,-6.3684,1,38.76,True
-4.281,2295.12,5218.92,7547.72,5.16,9489.09,-3.686,-1726.44,3313.45,27.648,-90310.11,1.6326,22.36,1,-2.394,-0.9071,0.638,-4.51206,-6.249,1,33.81,True
-1.6017,2796.57,279.42,12516.92,5.16,7475.91,-3.266,-855.84,3148.76,36.056,-90237.75,5.918,9.912,1,-1.4776,-0.7159,1.08,-4.533,-11.738,1,,False
-4.932,2643.72,1434.75,18834.92,5.16,8651.31,-2.706,1260.96,2984.75,36.8004,-89987.04,1.4996,10.35,0,-1.34707,-1.412,0.38578,-4.757,-6.742,0,32.4,True
-0.486,2768.38,2121.72,8294.92,2.16,8560.41,-1.8171,-156.04,3106.95,28.68,-90519.03,3.892,9.152,1,-2.62,-1.487,0.596,-5.7712,-13.328,0,,True
-0.9042,2747.63,1922.52,7845.524,5.16,8578.71,-2.2102,-1423.65,3285.56,42.972,-89985.81,1.559,14.38,1,-1.9982,-0.44051,3.83,-7.43,-9.788,0,38.37,True
-2.376,2706.02,1991.52,9332.92,2.16,9326.13,-1.9471,-1373.7,2858.75,39.37,-90075.174,0.8908,8.588,1,-1.657,-1.377,1.594,-7.062,-10.536,0,,True
-10.458,2783.56,1401.36,24004.92,5.16,3387.21,-2.1446,-943.24,2389.55,24.552,-90123.69,0.7664,21.6,1,-1.34138,-0.4614,1.2272,-5.1156,-10.558,0,,False
-0.6123,1718.12,1627.74,8015.76,5.16,8897.61,-1.7764,-1310.64,3137.5,41.18,-86334.33,2.75,4.3656,1,-1.7383,-1.921,3.082,-8.208,-5.863,1,,False
-0.1386,3098.72,1621.23,8230.52,5.16,9456.93,-2.0023,-1733.24,3413.75,36.5946,-89987.04,1.9714,18.2,0,-3.09,-1.3311,0.8886,-6.388,-6.2446,1,,False
-0.073731,2651.62,1437.6,9256.52,2.16,8686.71,-2.5225,-1154.64,2864.25,59.04,-90098.94,1.2464,5.668,0,-1.8467,-1.852,2.1224,-4.9372,-6.5662,1,36.96,True
-0.15837,2984.62,1551.78,8534.12,5.16,3015.21,-2.0146,-1305.18,3273.46,39.0888,-88283.13,2.1558,26.68,0,-2.0363,-0.4529,2.1572,-5.7866,-6.8126,0,,True
-2.2104,2590.32,1886.52,11680.92,2.16,5862.21,-2.4429,-410.24,2434.95,31.702,-90280.17,0.6914,9.062,0,-1.4487,-0.5676,0.6708,-4.46922,-6.4094,0,,True
-0.9753,2629.12,3577.02,8213.72,5.16,9705.81,-3.1,-2011.64,4779.35,36.3012,-90205.86,0.55232,15.18,1,-2.668,-1.0494,0.7484,-5.025,-6.536,1,,True
-0.843,1677.12,3715.92,7727.52,2.16,9202.968,-2.0528,-1339.22,3009.75,42.502,-90137.31,1.6526,16.77,0,-4.471,-0.6526,1.8634,-4.8368,-6.3034,1,,False
-1.317,1948.82,2026.92,8301.52,5.16,9186.363,-2.389,-1404.728,3170.08,26.472,-90175.26,0.9986,4.6955,0,-1.6602,-1.623,2.904,-6.326,-6.051,0,30.84,False
